ID,Universe#,ControllerID,Output#,Name,Location,Comment,Active,Type,Color,ColorName
265,2,18,3,Swiriles- Candy Canes (RG),From the chimney onto the roof,,True,2,#800000,Maroon
266,2,18,4,Big Nick Strobes,Over Big Nick's Head,,True,5,#FFFFFF,Transparent
267,2,18,6,UFOs 2 {CT} (RGB),Top of chimney,,True,15,#400000,Black
268,2,18,7,UFOs 3 {R} (RGB),Garage Door,,True,15,#400000,Black
269,2,18,8,Disco Balls (M),Roof,,True,23,#804040,SaddleBrown
270,2,18,9,Wreath Berries (R),Big Festive Wreath on the chimney,,True,22,#FF0000,Red
271,2,18,10,Wreath Leaves (G),Big Festive Wreath on the Chimney,,True,22,#00FF00,Green
272,2,18,16,On The Air,Controller I (Garage) Output 16,,True,1,#FF0000,Red
273,2,19,1,Garage Window 1 Dasher {L} (W),Garage Window leftmost,,True,1,#FFFFFF,Transparent
274,2,19,2,Garage Window 2 Dancer (W),Garage window 2nd from left,,True,1,#FFFFFF,Transparent
275,2,19,3,Garage Window 3 Prancer (W),Garage Window 3rd from left,,True,1,#FFFFFF,Transparent
276,2,19,4,Garage Window 4 Vixen (W),,,True,1,#FFFFFF,Transparent
277,2,19,5,Garage Window 5 Comet (W),,,True,1,#FFFFFF,Transparent
278,2,19,6,Garage Window 6 Cupid (W),,,True,1,#FFFFFF,Transparent
279,2,19,7,Garage Window 7 Donner (W),Garage window 2nd from right,,True,1,#FFFFFF,Transparent
280,2,19,8,Garage Window 8 Blitzen {R} (W),Garage Window rightmost,,True,1,#FFFFFF,Transparent
281,2,19,9,Meteors 1 (W),,,True,23,#FFFFFF,Transparent
282,2,19,10,Meteors 2 (W),,,True,23,#FFFFFF,Transparent
283,2,19,11,Meteors 3 (B),,,True,23,#0000FF,Blue
284,2,19,12,Meteors 4 (M),,,True,23,#804040,SaddleBrown
285,2,19,13,Rotating Beacons 1 {F} (RGBO),Front of Left Yard,,True,4,#804040,SaddleBrown
286,2,19,14,Rotating Beacons 2 {B} (RGBO),Back of Left Yard,,True,4,#804040,SaddleBrown
287,2,19,15,Rotating Beacons 3 {R} (RGBO),"Controller G, Output 24",,True,23,#804040,SaddleBrown
288,2,19,16,Spare 12V Q16,,,True,18,#C0C0C0,Silver
289,2,19,17,Spare 12V Q17,,,True,18,#C0C0C0,Silver
290,2,19,18,Spare 12 Volt O18,"Controller O Output 18, 12 Volts",,True,18,#C0C0C0,Silver
291,2,19,19,Spare 12 Volt O19,"Controller O Output 19, 12 Volts",,True,18,#C0C0C0,Silver
292,2,19,20,Spare 12 Volt H20,Controller H Output 20,,True,18,#C0C0C0,Silver
293,2,19,21,Spare 12 Volt H21,Controller H Output 21,,True,18,#C0C0C0,Silver
294,2,19,22,Spare 12 Volt H22,Controller H Output 22,,True,18,#C0C0C0,Silver
295,2,19,23,Transmitter 12V,Garage,Turns on during musical sequences off during animated,True,19,#CD0158,Crimson
296,2,19,24,Amplifier 12V,Garage,"On for musical sequences, off for animated",True,19,#008080,Teal
297,2,20,1,Manger Flood 1 {L} (R),Shining on the manger scene,,True,11,#FF0000,Red
298,2,20,2,Manger Flood 1 {L} (G),Shining on the manger scene,,True,11,#00FF00,Green
299,2,20,3,Manger Flood 1 {L} (B),Shining on the manger scene,,True,11,#0000FF,Blue
300,2,20,4,Manger Flood 2 {R} (R),Shining on the manger scene,,True,11,#FF0000,Red
301,2,20,5,Manger Flood 2 {R} (G),Shining on the manger scene,,True,11,#00FF00,Green
302,2,20,6,Manger Flood 2 {R} (B),Shining on the manger scene,,True,11,#0000FF,Blue
303,2,20,7,Festivus Pole Flood (R),Base of the Festivus Pole,,True,11,#FF0000,Red
304,2,20,8,Festivus Pole Flood (G),Base of the Festivus Pole,,True,11,#00FF00,Green
305,2,20,9,Festivus Pole Flood (B),Base of the Festivus Pole,,True,11,#0000FF,Blue
306,2,20,10,Spare 12 Volt RGB Device (R),"Controller G, Output 19",,False,18,#FF0000,Red
307,2,20,11,Spare 12 Volt RGB Device (G),"Controller G, Output 20",,False,18,#00FF00,Green
308,2,20,12,Spare 12 Volt RGB Device (B),"Controller G, Output 21",,False,18,#0000FF,Blue
309,2,20,13,Tree- Rainbow Inflatible (R),Yard Left Edge,,True,11,#FF0000,Red
310,2,20,14,Tree- Rainbow Inflatible (G),Leftmost Yard,,True,11,#00FF00,Green
311,2,20,15,Tree- Rainbow Inflatible (B),Leftmost Yard,,True,11,#0000FF,Blue
312,2,20,16,Spare 12 Volt RGB Device (R),,,True,18,#C0C0C0,Silver
313,2,20,17,Spare 12 Volt RGB Device (G),,,True,18,#C0C0C0,Silver
314,2,20,18,Spare 12 Volt RGB Device (B),,,True,18,#C0C0C0,Silver
315,2,20,19,Roof Ridgeline 1 {L} (R),Left Roof Top Ridgeline,,True,10,#FF0000,Red
316,2,20,20,Roof Ridgeline 1 {L} (G),Left Roof Top Ridgeline,,True,10,#00FF00,Green
317,2,20,21,Roof Ridgeline 1 {L} (B),Left Roof Top Ridgeline,,True,10,#0000FF,Blue
318,2,20,22,Roof Ridgeline 2 {R} (R),Right Roof Top Ridgeline,,True,10,#FF0000,Red
319,2,20,23,Roof Ridgeline 2 {R} (G),Right Roof Top Ridgeline,,True,10,#00FF00,Green
320,2,20,24,Roof Ridgeline 2 {R} (B),Right Roof Top Ridgeline,,True,10,#0000FF,Blue
321,2,20,25,Spare 12 Volt RGB Device (R),,,True,18,#C0C0C0,Silver
322,2,20,26,Spare 12 Volt RGB Device (G),,,True,18,#C0C0C0,Silver
323,2,20,27,Spare 12 Volt RGB Device (B),Controller H Output 18,,True,18,#C0C0C0,Silver
324,999,21,1,zRainbow Rope Arch 1 (R),,,False,13,#FF0000,Red
325,999,21,2,zRainbow Rope Arch 2 (O),,,False,13,#FF8000,Orange
326,999,21,3,zRainbow Rope Arch 3 (Y),,,False,13,#FFFF00,Yellow
327,999,21,4,zRainbow Rope Arch 4 (G),,,False,13,#00FF00,Green
328,999,21,5,zRainbow Rope Arch 5 (B),,,False,13,#0000FF,Blue
329,999,21,6,zRainbow Rope Arch 6 (V),,,False,13,#8000FF,DarkViolet
330,999,21,7,zTree- Big 2 (M),,,False,14,#804040,SaddleBrown
331,999,21,8,zYellow Snow (Y),,,False,22,#FFFF00,Yellow
